catchment,year,month,core_number,substrate_type,inorganic_g,organic_g,inorganic_gperm2,organic_gperm2,totalsediment_gperm2
99L,1997,november,8,very fine,101.7184,2.766399999999962,4068.736,110.65599999999849,4179.391999999998
99L,1997,november,9,fine,2.2444,0.17169999999999996,89.776,6.8679999999999986,96.64399999999999
99L,1997,november,9,coarse,0.03340000000000009,0.03429999999999999,1.3360000000000034,1.372,2.7080000000000037
99L,1997,november,9,very fine,57.22800000000001,2.5688000000000244,2289.1200000000003,102.75200000000098,2391.872000000001
99L,1997,november,10,fine,2.0274,0.13699999999999957,81.096,5.479999999999983,86.576
99L,1997,november,10,coarse,0.0595000000000001,0.04909999999999992,2.380000000000004,1.9639999999999969,4.344000000000001
99L,1997,november,10,very fine,68.87120000000002,1.945599999999985,2754.8480000000004,77.82399999999939,2832.6719999999996
99L,1998,june,1,fine,3.9542,0.5237999999999996,158.168,20.951999999999984,179.12
99L,1998,june,1,coarse,0.15560000000000018,0.13839999999999986,6.224000000000007,5.535999999999994,11.760000000000002
99L,1998,june,1,very fine,32.57359999999999,2.264799999999987,1302.9439999999995,90.59199999999947,1393.535999999999
99L,1998,june,2,fine,4.5352,0.1761999999999997,181.408,7.047999999999988,188.45599999999996
99L,1998,june,2,coarse,0.09330000000000016,0.05209999999999981,3.7320000000000064,2.0839999999999925,5.815999999999999
99L,1998,june,2,very fine,17.784000000000034,1.0791999999999788,711.3600000000014,43.167999999999154,754.5280000000005
99L,1998,june,3,fine,8.7044,0.1222000000000012,348.176,4.888000000000048,353.064
99L,1998,june,3,coarse,0.11319999999999995,0.05969999999999986,4.527999999999998,2.3879999999999946,6.915999999999992
99L,1998,june,3,very fine,11.065599999999996,0.6535999999999955,442.62399999999985,26.14399999999982,468.7679999999997
99L,1998,june,4,fine,12.5454,0.2436999999999987,501.81600000000003,9.747999999999948,511.56399999999996
99L,1998,june,4,coarse,0.2563,0.02950000000000008,10.251999999999999,1.1800000000000033,11.432000000000002
99L,1998,june,4,very fine,21.40160000000001,1.0791999999999824,856.0640000000003,43.167999999999296,899.2319999999996
99L,1998,june,5,fine,15.0218,0.12700000000000244,600.872,5.080000000000098,605.952
99L,1998,june,5,coarse,0.4220999999999999,0.01449999999999995,16.883999999999997,0.5799999999999983,17.463999999999995
99L,1998,june,5,very fine,18.924000000000007,0.8055999999999804,756.9600000000003,32.22399999999922,789.1839999999995
99L,1998,june,6,fine,2.8711,0.17830000000000013,114.84400000000001,7.132000000000005,121.97600000000001
99L,1998,june,6,coarse,0.1148,0.06499999999999995,4.592,2.599999999999998,7.1919999999999975
99L,1998,june,6,very fine,122.54239999999996,2.614400000000046,4901.695999999998,104.57600000000184,5006.272
99L,1998,june,7,fine,5.7275,0.08360000000000056,229.1,3.3440000000000225,232.44400000000002
99L,1998,june,7,coarse,0.29400000000000004,0.03029999999999999,11.760000000000002,1.2119999999999995,12.972000000000001
99L,1998,june,7,very fine,156.3928,2.2647999999999797,6255.7119999999995,90.59199999999919,6346.303999999998
99L,1998,june,8,fine,2.9945000000000004,1.1289999999999996,119.78000000000002,45.15999999999998,164.94
99L,1998,june,8,coarse,0.09899999999999996,0.133,3.959999999999998,5.32,9.279999999999998
99L,1998,june,8,very fine,580.26,13.375999999999976,23210.399999999998,535.039999999999,23745.439999999995
99L,1998,june,9,fine,3.6034000000000006,0.1960999999999995,144.13600000000002,7.843999999999979,151.98
99L,1998,june,9,coarse,0.03930000000000011,0.02749999999999985,1.5720000000000045,1.0999999999999943,2.671999999999999
99L,1998,june,9,very fine,161.4696,2.6143999999999608,6458.784000000001,104.57599999999844,6563.359999999999
99L,1998,june,10,fine,2.7122,0.12119999999999996,108.488,4.847999999999999,113.336
99L,1998,june,10,coarse,0.02810000000000001,0.03400000000000003,1.1240000000000003,1.3600000000000012,2.4840000000000018
99L,1998,june,10,very fine,85.05920000000002,1.4287999999999812,3402.3680000000004,57.15199999999925,3459.5199999999995
99L,1998,november,1,fine,9.240300000000001,0.5015000000000001,369.612,20.06,389.672
