catchment,year,month,distance_m,width_m,rockyoutcrop_percent,boulder_percent,rubble_percent,gravel_percent,detritus_percent,sandsilt_percent,woodbarrier_count,rockbarrier_count,smallbranches_count,largebranches_count,totalbranches_count,trees_count,largeleafpack_count,smallleafpack_count,run_percent,riffle_percent,pool_percent,plungepool_percent,falls_percent,deciduous_percent,coniferous_percent,canopyarea_percent,slope,depth1_cm,depth2_cm,depth3_cm,depth4_cm,depth5_cm
31,2000,july,100,2.7,NA,NA,NA,NA,NA,NA,0,0,300,3,NA,0,7,5,NA,NA,NA,NA,NA,100,0,20,NA,NA,NA,NA,NA,NA
31,2000,july,110,1.8,NA,NA,NA,NA,NA,NA,0,0,150,3,NA,0,3,6,NA,NA,NA,NA,NA,95,5,10,NA,NA,NA,NA,NA,NA
31,2000,july,120,1.7,NA,NA,NA,NA,NA,NA,3,0,200,0,NA,0,0,5,NA,NA,NA,NA,NA,100,0,10,NA,2,4,4,6,4
31,2000,july,130,1.4,NA,NA,NA,NA,NA,NA,0,0,300,5,NA,0,4,8,NA,NA,NA,NA,NA,100,0,50,NA,NA,NA,NA,NA,NA
31,2000,july,140,1,NA,NA,NA,NA,NA,NA,0,0,150,0,NA,0,0,7,NA,NA,NA,NA,NA,100,0,15,NA,NA,NA,NA,NA,NA
31,2000,july,150,1.3,NA,NA,NA,NA,NA,NA,0,0,200,8,NA,0,1,4,NA,NA,NA,NA,NA,100,0,30,NA,NA,NA,NA,NA,NA
31,2000,july,160,1.6,NA,NA,NA,NA,NA,NA,5,0,180,6,NA,0,0,4,NA,NA,NA,NA,NA,100,0,20,NA,5,2,6,8,8
31,2000,july,170,1,NA,NA,NA,NA,NA,NA,0,0,350,3,NA,1,1,3,NA,NA,NA,NA,NA,100,0,10,NA,NA,NA,NA,NA,NA
31,2000,july,180,1,NA,NA,NA,NA,NA,NA,0,0,190,8,NA,0,0,0,NA,NA,NA,NA,NA,100,0,20,NA,NA,NA,NA,NA,NA
31,2000,july,190,0.3,NA,NA,NA,NA,NA,NA,0,0,150,8,NA,0,0,2,NA,NA,NA,NA,NA,100,0,90,NA,NA,NA,NA,NA,NA
31,2000,july,200,0.5,NA,NA,NA,NA,NA,NA,0,0,140,3,NA,0,1,0,NA,NA,NA,NA,NA,100,0,50,NA,NA,NA,NA,NA,NA
31,2000,july,210,1.1,NA,NA,NA,NA,NA,NA,1,0,94,3,NA,0,0,2,NA,NA,NA,NA,NA,100,0,20,NA,1,2,4,5,4
