catchment,year,replicate,position,date_in,date_out,daysout_number,initialmass_g,massloss_g
102,2001,2,surface,2001-05-31,2001-06-20,20,0.2763,0.0969
102,2001,3,surface,2001-05-31,2001-06-20,20,0.1438,0.0313
102,2001,4,surface,2001-05-31,2001-06-20,20,0.1483,0.0219
102,2001,5,surface,2001-05-31,2001-06-20,20,0.161,0.0252
102,2001,1,surface,2001-09-20,2001-10-16,26,0.1319,0.0260
102,2001,2,surface,2001-09-20,2001-10-16,26,0.1601,0.0406
102,2001,3,surface,2001-09-20,2001-10-16,26,0.1569,0.0397
102,2001,4,surface,2001-09-20,2001-10-16,26,0.1354,0.0442
102,2001,5,surface,2001-09-20,2001-10-16,26,0.1289,0.0280
31,2000,1,surface,2000-05-16,2000-07-25,70,0.1045,0.0125
31,2000,2,surface,2000-05-16,2000-07-25,70,0.1276,0.0168
31,2000,3,surface,2000-05-16,2000-07-25,70,0.1222,0.0134
31,2000,4,surface,2000-05-16,2000-07-25,70,0.1007,0.0125
31,2000,5,surface,2000-05-16,2000-07-25,70,0.1088,0.0161
31,2000,1,surface,2000-05-16,2000-08-08,84,0.1156,NA
31,2000,2,surface,2000-05-16,2000-08-08,84,0.1163,NA
31,2000,3,surface,2000-05-16,2000-08-08,84,0.1151,NA
31,2000,4,surface,2000-05-16,2000-08-08,84,0.103,NA
31,2000,5,surface,2000-05-16,2000-08-08,84,0.1322,NA
31,2001,1,surface,2001-05-31,2001-07-09,39,0.1801,0.0475
31,2001,3,surface,2001-05-31,2001-07-09,39,0.1644,0.0469
31,2001,4,surface,2001-05-31,2001-07-09,39,0.1599,0.0380
31,2001,5,surface,2001-05-31,2001-07-09,39,0.1719,0.0451
31,2001,1,surface,2001-05-31,2001-06-20,20,0.1724,0.0304
31,2001,2,surface,2001-05-31,2001-06-20,20,0.1827,0.0267
31,2001,3,surface,2001-05-31,2001-06-20,20,0.1735,0.0292
31,2001,4,surface,2001-05-31,2001-06-20,20,0.1766,0.0260
31,2001,5,surface,2001-05-31,2001-06-20,20,0.1799,0.0268
31,2001,1,surface,2001-09-20,2001-10-16,26,0.1432,0.0325
31,2001,2,surface,2001-09-20,2001-10-16,26,0.1291,0.0252
31,2001,3,surface,2001-09-20,2001-10-16,26,0.161,0.0372
31,2001,4,surface,2001-09-20,2001-10-16,26,0.1734,0.0374
31,2001,5,surface,2001-09-20,2001-10-16,26,0.1545,0.0335
32,2000,1,surface,2000-05-16,2000-07-25,70,0.1293,0.0117
32,2000,2,surface,2000-05-16,2000-07-25,70,0.1369,0.0112
32,2000,3,surface,2000-05-16,2000-07-25,70,0.1142,0.0191
32,2000,4,surface,2000-05-16,2000-07-25,70,0.1223,0.0071
